user_id,signup_ts,country,zip_code,gender,age,intent_level,is_paying,initial_right_swipe_rate,is_pruned
user_000001,2026-02-14T22:43:00,IN,93810,female,38.0,casual,1,0.435,0
user_000002,2026-01-23T07:31:00,BR,24592,female,32.0,intentional,0,0.251,0
user_000003,2026-01-24T12:35:00,US,13278,male,25.0,casual,0,0.268,0
user_000004,2026-02-01T15:18:00,IN,46048,male,28.0,casual,0,0.223,0
user_000005,2026-01-24T01:19:00,BR,42098,female,20.0,friendship,0,0.113,0
user_000006,2026-04-03T01:21:00,US,78749,male,34.0,intentional,0,0.194,0
user_000007,2026-04-17T11:07:00,FR,39256,male,28.0,intentional,0,0.487,0
user_000008,2026-03-03T21:14:00,BR,28289,male,27.0,casual,1,0.184,0
user_000009,2026-03-18T20:48:00,US,23434,male,24.0,intentional,0,0.571,0
user_000010,2026-01-15T08:56:00,GB,98696,female,31.0,intentional,0,0.463,0
user_000011,2026-01-05T14:30:00,US,81482,female,25.0,friendship,0,0.134,0
user_000012,2026-03-29T08:37:00,MX,21395,male,33.0,casual,0,0.162,0
user_000013,2026-03-23T00:30:00,US,78749,male,23.0,casual,0,0.537,0
user_000014,2026-04-09T13:31:00,US,87397,female,32.0,friendship,0,0.182,0
user_000015,2026-04-17T18:38:00,US,78749,female,30.0,friendship,1,0.11,0
user_000016,2026-03-27T05:19:00,DE,65302,male,36.0,friendship,0,0.135,0
user_000017,2026-01-30T23:23:00,AU,14165,male,45.0,intentional,0,0.383,0
user_000018,2026-03-19T04:56:00,ES,13905,male,34.0,casual,1,0.19,0
user_000019,2026-04-13T07:23:00,CA,22280,female,33.0,casual,0,0.257,0
user_000020,2026-01-17T12:52:00,DE,38657,male,24.0,intentional,0,0.473,0
user_000021,2026-04-20T12:30:00,DE,40495,male,30.0,intentional,0,0.275,0
user_000022,2026-02-25T13:17:00,IN,76237,female,23.0,casual,0,0.16,0
user_000023,2026-01-26T14:05:00,US,88907,male,37.0,intentional,0,0.469,0
user_000024,2026-01-10T00:57:00,CA,13478,male,34.0,casual,0,0.249,0
user_000025,2026-03-21T06:57:00,FR,83563,male,19.0,intentional,0,0.164,0
user_000026,2026-01-12T11:28:00,US,36062,female,33.0,casual,0,0.288,0
user_000027,2026-04-13T15:09:00,US,95181,male,32.0,casual,0,0.143,0
user_000028,2026-02-16T23:54:00,US,78749,female,18.0,casual,1,0.178,0
user_000029,2026-01-03T19:16:00,US,81426,male,31.0,intentional,0,0.281,0
user_000030,2026-02-19T08:46:00,BR,64987,male,32.0,friendship,0,0.309,0
user_000031,2026-03-02T19:19:00,AU,38893,female,30.0,casual,0,0.326,0
user_000032,2026-02-09T16:45:00,DE,68878,male,41.0,casual,0,0.345,0
user_000033,2026-02-12T02:08:00,DE,87236,male,30.0,casual,1,0.227,0
user_000034,2026-04-29T08:22:00,CA,46463,male,30.0,friendship,0,0.176,0
user_000035,2026-02-20T21:06:00,IN,10851,female,30.0,intentional,0,0.155,0
user_000036,2026-04-15T05:57:00,US,30926,male,31.0,casual,0,0.33,0
user_000037,2026-03-25T10:37:00,IN,65392,male,28.0,casual,0,0.43,0
user_000038,2026-03-12T01:58:00,ES,54597,male,20.0,intentional,0,0.262,0
user_000039,2026-04-09T22:43:00,MX,46421,female,28.0,friendship,0,0.199,0
user_000040,2026-04-27T20:50:00,IN,30379,female,22.0,casual,1,0.274,0
user_000041,2026-03-08T18:56:00,CA,38221,female,20.0,intentional,0,0.442,0
user_000042,2026-03-04T18:31:00,CA,54118,male,27.0,intentional,0,0.139,0
user_000043,2026-03-16T16:12:00,US,23396,female,18.0,casual,0,0.331,0
user_000044,2026-03-16T20:56:00,US,22156,male,29.0,intentional,0,0.229,0
user_000045,2026-01-29T01:07:00,US,59797,female,22.0,casual,0,0.455,0
user_000046,2026-01-05T04:16:00,US,22676,female,32.0,casual,0,0.579,0
user_000047,2026-04-06T15:04:00,CA,57052,male,34.0,casual,0,0.216,0
user_000048,2026-03-16T08:27:00,DE,55082,female,21.0,casual,0,0.194,0
user_000049,2026-02-23T12:14:00,GB,89131,female,22.0,casual,0,0.157,0
user_000050,2026-04-05T11:05:00,IN,44671,male,34.0,intentional,0,0.265,0
user_000051,2026-03-10T08:59:00,MX,15695,female,,casual,0,0.241,0
user_000052,2026-01-10T12:24:00,ES,70217,female,25.0,casual,0,0.274,0
user_000053,2026-03-22T22:33:00,IN,80284,female,25.0,intentional,0,0.153,0
user_000054,2026-02-04T13:09:00,IN,26361,male,27.0,casual,0,0.134,0
user_000055,2026-03-13T11:24:00,BR,59615,male,30.0,friendship,0,0.235,0
user_000056,2026-01-17T19:12:00,US,20328,female,38.0,friendship,0,0.434,0
user_000057,2026-02-22T09:27:00,GB,82357,male,30.0,intentional,0,0.212,0
user_000058,2026-04-23T15:20:00,US,48427,male,33.0,intentional,0,0.166,0
user_000059,2026-03-31T00:34:00,DE,92397,male,36.0,casual,0,0.14,0
user_000060,2026-03-25T13:15:00,BR,91070,female,34.0,friendship,0,0.382,0
user_000061,2026-03-12T12:36:00,US,57400,male,39.0,friendship,0,0.203,0
user_000062,2026-03-30T22:55:00,IN,85674,female,37.0,friendship,0,0.189,0
user_000063,2026-01-07T08:48:00,US,35203,female,33.0,casual,0,0.455,0
user_000064,2026-01-17T04:29:00,BR,19116,male,27.0,casual,0,0.102,0
user_000065,2026-02-19T02:59:00,IN,16006,male,24.0,casual,0,0.175,0
user_000066,2026-04-04T10:31:00,BR,96673,female,22.0,intentional,0,0.333,0
user_000067,2026-02-02T15:24:00,US,39871,female,28.0,intentional,0,0.32,0
user_000068,2026-01-29T02:14:00,FR,47930,male,31.0,friendship,0,0.092,0
user_000069,2026-01-02T02:12:00,US,20458,female,34.0,intentional,0,0.15,0
user_000070,2026-03-16T09:33:00,BR,40512,female,18.0,friendship,0,0.415,0
