user_id,verification_attempted,verification_passed,verification_ts
user_000001,1,1,2026-01-19T17:48:00
user_000002,1,1,2026-04-25T08:36:00
user_000003,1,1,2026-01-23T18:36:00
user_000004,1,0,2026-04-29T18:51:00
user_000005,1,1,2026-03-10T08:44:00
user_000006,1,1,2026-02-21T14:37:00
user_000007,1,1,2026-04-17T03:33:00
user_000008,1,1,2026-01-24T14:05:00
user_000009,1,1,2026-03-21T22:40:00
user_000010,1,1,2026-01-31T09:30:00
user_000011,1,1,2026-03-26T08:48:00
user_000012,1,1,2026-02-11T14:42:00
user_000013,1,1,2026-02-25T12:52:00
user_000014,1,1,2026-01-29T14:07:00
user_000015,1,1,2026-03-31T06:49:00
user_000016,1,1,2026-02-22T15:21:00
user_000017,1,1,2026-01-06T18:24:00
user_000018,1,1,2026-01-05T12:51:00
user_000019,1,1,2026-01-16T04:01:00
user_000020,1,1,2026-04-19T11:27:00
user_000021,1,1,2026-04-05T22:27:00
user_000022,0,0,
user_000023,1,1,2026-02-11T20:01:00
user_000024,1,1,2026-03-30T13:48:00
user_000025,1,1,2026-02-06T10:55:00
user_000026,1,1,2026-03-22T21:09:00
user_000027,1,1,2026-04-18T02:50:00
user_000028,1,1,2026-02-08T17:45:00
user_000029,1,1,2026-02-27T17:58:00
user_000030,1,1,2026-01-24T08:21:00
user_000031,1,1,2026-03-05T23:36:00
user_000032,0,0,
user_000033,1,1,2026-04-12T14:42:00
user_000034,1,1,2026-02-14T07:12:00
user_000035,1,1,2026-02-08T14:08:00
user_000036,1,1,2026-04-17T21:57:00
user_000037,1,1,2026-03-30T10:51:00
user_000038,1,1,2026-04-08T14:14:00
user_000039,1,1,2026-02-25T14:23:00
user_000040,1,1,2026-01-28T09:17:00
user_000041,1,1,2026-01-06T00:06:00
user_000042,1,1,2026-04-02T07:56:00
user_000043,1,1,2026-03-27T04:49:00
user_000044,1,1,2026-04-01T16:52:00
user_000045,1,1,2026-04-04T10:53:00
user_000046,1,1,2026-04-03T16:53:00
user_000047,1,1,2026-01-26T06:20:00
user_000048,1,1,2026-03-21T00:32:00
user_000049,1,1,2026-01-20T00:17:00
user_000050,1,1,2026-01-21T15:11:00
user_000051,1,1,2026-02-04T07:50:00
user_000052,1,1,2026-02-22T03:19:00
user_000053,1,1,2026-02-18T01:34:00
user_000054,1,1,2026-03-13T09:58:00
user_000055,1,1,2026-01-06T15:13:00
user_000056,1,1,2026-02-08T07:34:00
user_000057,1,0,2026-03-17T14:40:00
user_000058,1,1,2026-02-16T01:40:00
user_000059,1,0,2026-02-04T08:00:00
user_000060,1,1,2026-02-27T20:21:00
user_000061,1,1,2026-02-08T14:32:00
user_000062,1,1,2026-03-07T08:04:00
user_000063,1,1,2026-03-23T01:07:00
